,address,addressNumber,bikes,district,id,lat,lon,name,nearbyStations,slots,stationType,status,zip,Colonia
248,249 - Shakespeare-Darwin,S/N,16,2,249,19.429876999999998,-99.17756899999999,249 SHAKESPEARE-DARWIN ,"248,250,251",2,BIKE,OPN,11510,ANZURES
249,250 - Darwin-Mariano Escobedo,S/N,24,1,250,19.429057,-99.17966,250 DARWIN-MARIANO ESCOBEDO ,"239,249,252",3,"BIKE,TPV",OPN,11510,NUEVA ANZURES
250,251 - Goethe-Darwin,S/N,7,2,251,19.429261,-99.17538,251 GOETHE-DARWIN ,"248,249,252",11,BIKE,OPN,11510,NUEVA ANZURES
251,252 - Víctor Hugo-Shakespeare,S/N,14,2,252,19.427575,-99.17702,252 VICTOR HUGO-SHAKESPEARE ,"249,251,253",4,BIKE,OPN,11510,NUEVA ANZURES
252,253 - Dante-Tolstoi,S/N,20,1,253,19.425835,-99.177924,253 DANTE-TOLSTOI ,"195,252,261",1,"BIKE,TPV",OPN,11510,NUEVA ANZURES
253,254 - Alfonso Herrera-Miguel Shultz,S/N,12,S-R,254,19.43935,-99.16006999999999,254 ALFONSO HERRERA-MIGUEL SHULTZ ,"160,174,256",18,BIKE,OPN,,SAN RAFAEL
254,255-Jose Rosas Moreno-Guillermo Prieto,S/N,8,1,255,19.437159,-99.161808,255 JOSE ROSAS MORENO-GUILLERMO PRIETO ,"160,183,257",28,BIKE,OPN,,SAN RAFAEL
255,256 - Gómez Farías Sadi Carnot,S/N,15,S-R,256,19.4372,-99.15816,256 GÓMEZ FARÍAS-SADI CARNOT ,"254,259",11,BIKE,OPN,,SAN RAFAEL
256,257 - Manuel Maria Contreras-Villalongin,S/N,0,S-R,257,19.4338,-99.16622,E257 MANUEL MARIA CONTRERAS-VILLALONGIN ,"6,33,160,469",21,ELECTRIC_BIKE,OPN,,CUAUHTEMOC
257,258 - Circuito Interior-Juan Escutia,S/N,0,CON,258,19.4167,-99.1791,258 CIRCUITO INTERIOR-JUAN ESCUTIA ,"36,49,53",29,BIKE,OPN,,CONDESA
258,259 - Tómas Alva Edison-Ponciano Arriaga,S/N,16,1,259,19.43757,-99.15468,259 TÓMAS ALVA EDISON-PONCIANO ARRIAGA ,256,8,BIKE,OPN,,TABACALERA
259,260 - Av. Juárez-Balderas,S/N,6,CEN,260,19.435354,-99.14774200000001,E260 AV JUAREZ-BALDERAS ,"29,33,41,108",18,ELECTRIC_BIKE,OPN,,CENTRO
260,261 Paseo de la Reforma-Río de la Plata,S/N,13,1,261,19.42495,-99.17246,261 PASEO DE LA REFORMA - RÍO DE LA PLATA,"195,252,253",15,BIKE,OPN,,CUAUHTEMOC
261,262 - Republica de Cuba-Republica de Brasil,S/N,2,CEN,262,19.43693,-99.13395,262 REPUBLICA DE CUBA-REPUBLICA DE BRASIL ,"91,92,93",31,"BIKE,TPV",OPN,,CENTRO
262,263 - Sadi Carnot - Gómez Farias,S/N,15,S-R,263,19.436273999999997,-99.158425,263 SADI CARNOT-GÓMEZ FARIAS ,"85,86,256",14,"BIKE,TPV",OPN,,SAN RAFAEL
263,264 - H. Ferrocarrileros - Jesús Garcia ,S/N,5,1,264,19.440985,-99.152935,264 HÉROES FERROCARRILEROS-AV. CENTRAL,"265,266,268",30,BIKE,OPN,,BUENAVISTA
264,265 - Jesús Garcia-Héroes Ferrocarrileros,S/N,10,1,265,19.440839,-99.152265,265 HÉROES FERROCARRILEROS-JESÚS GARCIA,"264,275",25,"BIKE,TPV",OPN,,BUENAVISTA
265,266 - Av. Jesús Garcia -  Carlos J. Meneses,S/N,4,BUE,266,19.444031,-99.152187,266 AV. JESÚS GARCIA-CARLOS J. MENESES ,"267,268,269",32,"BIKE,TPV",OPN,,BUENAVISTA
266,267 - Carlos J. Meneses - Av. jesús García,S/N,3,BUE,267,19.443735,-99.152203,267 AV. JESÜS GARCÏA-CARLOS J. MENESES,"176,266,271",33,BIKE,OPN,,BUENAVISTA
267,268 Luis Donaldo Colosio - Av. Jesus Garcia,S/N,1,BUE,268,19.442467,-99.151658,268 LUIS DONALDO COLOSIO-AV.JESÚS GARCÍA ,"176,269,273",34,BIKE,OPN,,BUENAVISTA
268,269 Luis Donaldo Colosio - Aldama,S/N,4,BUE,269,19.442448000000002,-99.151586,269 LUIS DONALDO COLOSIO-ALDAMA ,"176,268,273",32,BIKE,OPN,,BUENAVISTA
269,270 - De la Republica-Ponciano Arriaga,S/N,5,TAB,270,19.43676,-99.15387,270 DE LA REPUBLICA-PONCIANO ARRIAGA ,270,31,"BIKE,TPV",OPN,,TABACALERA
270,271 Av. Jesús García - J. Meneses,S/N,1,1,271,19.443928,-99.152525,271 AV. CENTRAL-J. MENESES ,"266,267,272",35,BIKE,OPN,,BUENAVISTA
271,271 Av. Jesus Garcia - J. Meneses,S/N,0,BUE,272,19.443556,-99.152556,272 AV. CENTRAL-J. MENESES ,"266,267,271",36,BIKE,OPN,,BUENAVISTA
272,273 Luis Donaldo Colosio - Av. Jesus Garcia,S/N,3,1,273,19.442707000000002,-99.152956,273 LUIS DONALDO COLOSIO-AV. CENTRAL,"176,268,274",33,BIKE,OPN,,BUENAVISTA
273,274 Luis Donaldo Colosio - Av. Insurgentes Norte,S/N,5,BUE,274,19.442772,-99.153289,274 LUIS DONALDO COLOSIO-AV INSURGENTES NORTE ,"176,268,273",31,BIKE,OPN,,BUENAVISTA
274,275 Héroes Ferrocarrileros - Av. Jesús García,S/N,5,BUE,275,19.441062,-99.153164,275 HÉROES FERROCARRILEROS-AV. INSURGENTES NORTE,"264,265",31,BIKE,OPN,,BUENAVISTA
275,276 - Anaxágoras-Obrero Mundial,S/N,5,NAR,276,19.401985999999997,-99.156366,276 ANAXÁGORAS-OBRERO MUNDIAL,"277,280,281",25,BIKE,OPN,3020,PIEDAD NARVARTE
276,277 - Ampliación Tonalá-Obrero Mundial,S/N,7,1,277,19.401807,-99.15909,277 AMPLIACIÓN TONALÁ-OBRERO MUNDIAL,"165,276,280",20,BIKE,OPN,3020,PIEDAD NARVARTE
277,278 - Mier Y Pesado-Obrero Mundial,S/N,11,1,278,19.40071,-99.163831,278 MIER Y PESADO-OBRERO MUNDIAL,"164,279,282",10,BIKE,OPN,3103,DEL VALLE
278,279 - La Morena-Providencia,S/N,7,DVN,279,19.399908,-99.16655300000001,279 LA MORENA-PROVIDENCIA,"164,278,282",23,BIKE,OPN,3103,DEL VALLE
279,280 - Anaxágoras-Obrero Mundial,S/N,9,NAR,280,19.4015,-99.156406,280 ANAXÁGORAS-OBRERO MUNDIAL,"276,277,281",27,"BIKE,TPV",OPN,3020,NARVARTE PONIENTE
280,281 - Pitágoras-La Morena,S/N,4,NAR,281,19.398532,-99.157308,281 PITÁGORAS-LA MORENA,"276,280,295",26,BIKE,OPN,3020,NARVARTE PONIENTE
281,282 - La Morena-Eje 2 Poniente Gabriel Mancera,S/N,2,DVN,282,19.398692,-99.161273,282 LA MORENA-EJE 2 PONIENTE GABRIEL MANCERA,"278,293,294",16,BIKE,OPN,3103,DEL VALLE
282,283 - Av. Coyoacán-Rafael Donde,S/N,15,1,283,19.39827,-99.167383,283 AV. COYOACÁN-RAFAEL DONDE,"279,292,293",6,BIKE,OPN,3103,DEL VALLE
283,284 - Dakota-Vermont,S/N,7,NAP,284,19.397693,-99.17298100000001,284 DAKOTA-VERMONT,"289,290,291",26,BIKE,OPN,3810,NAPOLES
284,285 - 12 De Octubre-Mineria,S/N,0,ESC,285,19.399794600000003,-99.17751779999999,285 12 DE OCTUBRE-MINERIA,"171,173,286",18,BIKE,OPN,11800,ESCANDON
285,286 - 13 De Septiembre-Avenida Patriotismo,S/N,5,ESC,286,19.399201,-99.17994300000001,286 13 DE SEPTIEMBRE-AVENIDA PATRIOTISMO,"171,285,287",16,BIKE,OPN,11800,ESCANDON
286,287 - 13 De Septiembre-Puente De La Morena,S/N,14,ESC,287,19.398946,-99.183254,287 13 DE SEPTIEMBRE-PUENTE DE LA MORENA,"286,288,311",7,BIKE,OPN,11800,ESCANDON
287,288 - 11 De Abril-Avenida 2,S/N,1,1,288,19.396333,-99.183575,288 11 DE ABRIL-AVENIDA 2,"287,310,311",17,BIKE,OPN,3800,SAN PEDRO DE LOS PINOS
288,289 - Chicago-Yosemite,S/N,7,NAP,289,19.397308,-99.174548,289 CHICAGO-YOSEMITE,"284,290,304",11,BIKE,OPN,3810,NAPOLES
289,290 - Yosemite-Colorado,S/N,10,NAP,290,19.396333,-99.172667,290 YOSEMITE-COLORADO,"284,289,303",17,BIKE,OPN,3810,NAPOLES
290,291 - Magdalena-División Del Norte,S/N,11,DVN,291,19.397651,-99.169946,291 MAGDALENA-DIVISIÓN DEL NORTE,"283,284,290",16,BIKE,OPN,3103,DEL VALLE
291,292 - Adolfo Prieto-Eje 4 Sur Xola,S/N,18,DVN,292,19.396917000000002,-99.166264,292 ADOLFO PRIETO-EJE 4 SUR XOLA,"283,293,299",18,BIKE,OPN,3103,DEL VALLE
292,293 - Mier Y Pesado-Eje 4 Sur Xola,S/N,12,DVN,293,19.397373,-99.164598,293 MIER Y PESADO-EJE 4 SUR XOLA,"283,292,294",24,"BIKE,TPV",OPN,3103,DEL VALLE
293,294 - Nicolás San Juan-Eje 4 Sur Xola,S/N,0,NAR,294,19.396513,-99.160924,294 NICOLÁS SAN JUAN-EJE 4 SUR XOLA,"282,295,298",24,BIKE,OPN,3020,DEL VALLE
294,295 - Anaxágoras-Eje 4 Sur Xola,S/N,15,NAR,295,19.396328,-99.156871,295 ANAXÁGORAS-EJE 4 SUR XOLA,"281,296,297",21,"BIKE,TPV",OPN,3020,NARVARTE PONIENTE
295,296 - Diagonal San Antonio-Enrique Rébsamen,S/N,0,NAR,296,19.394282999999998,-99.15875600000001,E296 DIAGONAL SAN ANTONIO-ENRIQUE RÉBSAMEN,"295,297,300",19,ELECTRIC_BIKE,OPN,3020,NARVARTE PONIENTE
296,297 - Diagonal San Antonio-Enrique Rébsamen,S/N,11,NAR,297,19.394412,-99.158907,297 DIAGONAL SAN ANTONIO-ENRIQUE RÉBSAMEN,"295,296,320",22,BIKE,OPN,3020,NARVARTE PONIENTE
297,298 - Romero De Terreros-Gabriel Mancera,S/N,4,DVN,298,19.394073000000002,-99.16214000000001,298 ROMERO DE TERREROS-GABRIEL MANCERA,"294,318,319",17,BIKE,OPN,3103,DEL VALLE
298,299 - Romero De Terreros-Mier Y Pesado,S/N,0,DVN,299,19.394601,-99.165054,299 ROMERO DE TERREROS-MIER Y PESADO,"292,298,318",24,BIKE,OPN,3103,DEL VALLE
299,300 - Providencia -Luz Saviñon,S/N,5,DVN,300,19.393268,-99.16833299999999,E300 PROVIDENCIA -LUZ SAVIÑON,"296,301,302",15,ELECTRIC_BIKE,OPN,3103,DEL VALLE
300,301 - Luz Saviñón-Magdalena,S/N,1,DVN,301,19.393807000000002,-99.171133,301 LUZ SAVIÑÓN-MAGDALENA,"300,302,316",23,BIKE,OPN,3103,DEL VALLE
301,302 - Luz Saviñon-Magdalena,S/N,17,DVN,302,19.393832,-99.17146600000001,302 LUZ SAVIÑON-MAGDALENA,"301,303,304",17,BIKE,OPN,3103,DEL VALLE
302,303 - Montesito-Av. Insurgentes,S/N,9,NAP,303,19.394842,-99.173025,303 MONTESITO-AV. INSURGENTES,"301,302,304",18,"BIKE,TPV",OPN,3810,NAPOLES
303,304 - Montesito-Dakota,S/N,5,NAP,304,19.395042999999998,-99.17382099999999,304 MONTESITO-DAKOTA,"290,303,305",28,BIKE,OPN,3810,NAPOLES
304,305 - Avenida Del Parque-Arizona,S/N,0,1,305,19.394693,-99.175531,305 AVENIDA DEL PARQUE-ARIZONA,"304,306,307",36,"BIKE,TPV",OPN,3810,NAPOLES
305,306 - Dakota-Filadelfia,S/N,8,NAP,306,19.393698999999998,-99.175664,306 DAKOTA-FILADELFIA,"305,307,308",28,"BIKE,TPV",OPN,3810,NAPOLES
306,307 - Minesota-Dakota,S/N,0,NAP,307,19.393701,-99.175834,307 MINESOTA-DAKOTA,"305,306,308",27,BIKE,OPN,3810,NAPOLES
307,308 - Nueva York-Arizona,S/N,2,1,308,19.393594,-99.178072,308 NUEVA YORK-ARIZONA,"306,307,309",28,BIKE,OPN,3810,NAPOLES
308,309 - Pennsylvania-Arizona,S/N,5,NAP,309,19.393162,-99.17956,309 PENNSYLVANIA-ARIZONA,"308,310,313",22,BIKE,OPN,3810,NAPOLES
309,310 - Calle 1-Av. Patriotismo,S/N,1,1,310,19.395319,-99.181733,310 CALLE 1-AV. PATRIOTISMO,"309,311,312",14,BIKE,OPN,3800,SAN PEDRO DE LOS PINOS
310,311 - Calle 5-Avenida Revolución,S/N,11,1,311,19.393665,-99.18539100000001,311 CALLE 5-AVENIDA REVOLUCIÓN,"310,312,328",7,BIKE,OPN,3800,SAN PEDRO DE LOS PINOS
311,312 - Avenida 2-Calle 7,S/N,8,SPP,312,19.392634,-99.183737,312 AVENIDA 2-CALLE 7,"310,311,328",19,"BIKE,TPV",OPN,3800,SAN PEDRO DE LOS PINOS
312,313 - Pennsylvania-Oklahoma,S/N,5,1,313,19.391431,-99.178989,313 PENNSYLVANIA-OKLAHOMA,"308,309,314",19,BIKE,OPN,3810,NAPOLES
313,314 - Nuerva York-Louisiana,S/N,11,NAP,314,19.391647,-99.17733100000001,314 NUERVA YORK-LOUISIANA,"307,313,327",9,BIKE,OPN,3810,NAPOLES
314,315 - Alabama-Montana,S/N,6,NAP,315,19.391472,-99.1736,315 ALABAMA-MONTANA,"301,302,316",15,BIKE,OPN,3810,NAPOLES
315,316 - San Francisco-Concepción Beistegui,S/N,0,DVN,316,19.391056,-99.1712,316 SAN FRANCISCO-CONCEPCIÓN BEISTEGUI,"301,302,315",27,BIKE,OPN,3103,DEL VALLE
316,317 - Avenida Coyoacán-Torres Adalid,S/N,3,DVN,317,19.391455999999998,-99.166157,317 AVENIDA COYOACÁN-TORRES ADALID,"299,300,318",33,"BIKE,TPV",OPN,3103,DEL VALLE
317,318 - Luz Saviñón-Amores,S/N,1,DVN,318,19.392249,-99.16412700000001,318 LUZ SAVIÑÓN-AMORES,"299,317,319",20,BIKE,OPN,3103,DEL VALLE
318,319 - Diagonal San Antonio-Luz Saviñon,S/N,6,DVN,319,19.391991,-99.162684,319 DIAGONAL SAN ANTONIO-LUZ SAVIÑON,"298,318,320",21,BIKE,OPN,3103,DEL VALLE
319,320 - Enrique Rébsamen-Luz Saviñon,S/N,15,NAR,320,19.391323,-99.15935999999999,320 ENRIQUE RÉBSAMEN-LUZ SAVIÑON,"296,297,319",3,BIKE,OPN,3020,NARVARTE PONIENTE
320,321 - Torres Adalid-Anaxágoras,S/N,6,1,321,19.389477,-99.157513,321 TORRES ADALID-ANAXÁGORAS,"320,322,340",17,BIKE,OPN,3020,NARVARTE PONIENTE
321,322 - Heriberto Frías-Concepción Beistegui,S/N,7,1,322,19.388528,-99.160616,322 HERIBERTO FRÍAS-CONCEPCIÓN BEISTEGUI,"321,323,339",20,BIKE,OPN,3020,NARVARTE PONIENTE
322,323 - Concepción Beistegui-Gabriel Mancera,S/N,4,DVN,323,19.389026,-99.163403,323 CONCEPCIÓN BEISTEGUI-GABRIEL MANCERA,"319,322,324",19,BIKE,OPN,3103,DEL VALLE
323,324 - Amores-Avenida Eugenia,S/N,4,DVC,324,19.3872468,-99.1656554,324 AMORES-AVENIDA EUGENIA,"323,336,337",14,BIKE,OPN,3100,DEL VALLE CENTRO
324,325 - Providencia -Avenida Del Valle,S/N,8,1,325,19.3881779,-99.16968940000001,325 PROVIDENCIA -AVENIDA DEL VALLE,"316,335,336",16,BIKE,OPN,3100,DEL VALLE
325,326 - Eugenia-Nebraska,S/N,12,AMN,326,19.388978,-99.174811,326 EUGENIA-NEBRASKA,"327,334,335",22,BIKE,OPN,3840,AMPL NAPOLES
326,327 - Georgia -Pennsylvania,S/N,7,NAP,327,19.38885,-99.17772,E327 GEORGIA -PENNSYLVANIA,"300,314,326",16,ELECTRIC_BIKE,OPN,3810,NAPOLES
327,328 - Avenida 1-Calle 7,S/N,1,SPP,328,19.392585999999998,-99.184742,328 AVENIDA 1-CALLE 7,"311,312,329",25,BIKE,OPN,3800,SAN PEDRO DE LOS PINOS
328,329 - Calle 13-Avenida 1,S/N,1,SPP,329,19.390306,-99.184812,329 CALLE 13-AVENIDA 1,"312,328,330",23,BIKE,OPN,3800,SAN PEDRO DE LOS PINOS
329,330 - Calle 15-Avenida Patriotismo,S/N,0,SPP,330,19.389357999999998,-99.182606,330 CALLE 15-AVENIDA PATRIOTISMO,"329,331,332",18,BIKE,OPN,3800,SAN PEDRO DE LOS PINOS
330,331 - Avenida 2-Calle 17,S/N,5,SPP,331,19.388547,-99.183971,331 AVENIDA 2-CALLE 17,"329,330,332",22,BIKE,OPN,3800,SAN PEDRO DE LOS PINOS
331,332 - Sur De Calle 27-Avenida 3,S/N,10,SPP,332,19.385507999999998,-99.183809,332 SUR DE CALLE 27-AVENIDA 3,"330,331,333",14,BIKE,OPN,3800,SAN PEDRO DE LOS PINOS
332,333 - Georgia -Carolina,S/N,5,NAP,333,19.387624,-99.180978,333 GEORGIA -CAROLINA,"330,332,349",16,BIKE,OPN,3810,AMPL NAPOLES
333,334 - Nuerva York-Av. Insurgentes,S/N,0,AMN,334,19.386568,-99.175089,334 NUEVA YORK-AV. INSURGENTES,"326,335,346",36,BIKE,OPN,3840,AMPL NAPOLES
334,335 - Magdalena-Ameyalco,S/N,3,DVC,335,19.387003,-99.17350400000001,335 MAGDALENA-AMEYALCO,"326,334,346",30,BIKE,OPN,3100,DEL VALLE
335,336 - San Borja-Cda. Bartoloche,S/N,6,DVC,336,19.385531,-99.169673,336 SAN BORJA-CDA. BARTOLOCHE,"325,337,345",15,BIKE,OPN,3100,DEL VALLE CENTRO
336,337 - San Borja-Martín Menlalde,S/N,6,DVC,337,19.384849,-99.16704,337 SAN BORJA-MARTÍN MENLALDE,"324,336,338",15,"BIKE,TPV",OPN,3100,DEL VALLE CENTRO
337,338 - Nicolas San Juan-San Borja,S/N,0,DVC,338,19.384249,-99.163273,338 NICOLAS SAN JUAN-SAN BORJA,"324,336,337",21,BIKE,OPN,3100,DEL VALLE CENTRO
338,339 - Enrique Rébsamen-Avenida Eugenia,S/N,6,NAR,339,19.386032,-99.16054799999999,339 ENRIQUE RÉBSAMEN-AVENIDA EUGENIA,"322,340,343",14,BIKE,OPN,3020,NARVARTE PONIENTE
339,340 - Anaxágoras-Avenida Eugenia,S/N,6,NAR,340,19.385571,-99.158188,340 ANAXÁGORAS-AVENIDA EUGENIA,"339,341,343",24,"BIKE,TPV",OPN,3020,NARVARTE PONIENTE
340,341 - San Borja-Avenida Cuauhtemoc,S/N,8,NAR,341,19.382851000000002,-99.158204,341 SAN BORJA-AVENIDA CUAUHTEMOC,"340,343,364",22,BIKE,OPN,3020,NARVARTE PONIENTE
341,342 - Anaxágoras-Angel Urraza Eje 6 Sur,S/N,8,NAR,342,19.381076,-99.15945500000001,342 ANAXÁGORAS-ANGEL URRAZA EJE 6 SUR,"341,344,359",28,BIKE,OPN,3020,NARVARTE PONIENTE
342,343 - Enrique Rébsamen-División Del Norte,S/N,9,DVC,343,19.384099,-99.160826,343 ENRIQUE RÉBSAMEN-DIVISIÓN DEL NORTE,"338,341,344",9,BIKE,OPN,3100,DEL VALLE CENTRO
343,344 - Heriberto Frías-Angel Urraza Eje 6 Sur,S/N,7,DVC,344,19.382107,-99.162243,344 HERIBERTO FRÍAS-ANGEL URRAZA EJE 6 SUR,"338,343,358",20,BIKE,OPN,3100,DEL VALLE CENTRO
344,345 - Miraflores-Patricio Sanz,S/N,3,ISB,345,19.384498,-99.172223,345 MIRAFLORES-PATRICIO SANZ,"334,335,346",18,BIKE,OPN,3100,INSURGENTES SAN BORJA
345,346 - San Francisco-Santa Margarita,S/N,13,ISB,346,19.385019,-99.174077,346 SAN FRANCISCO-SANTA MARGARITA,"334,335,345",10,BIKE,OPN,3100,INSURGENTES SAN BORJA
346,347 - Pennsylvania-Maximino Avila Camacho,S/N,7,1,347,19.384377999999998,-99.176097,347 PENNSYLVANIA-MAXIMINO AVILA CAMACHO,"334,346,348",18,"BIKE,TPV",OPN,3710,CIUDAD DE LOS DEPORTES
347,348 - Indiana-Avenida San Antonio,S/N,5,CDD,348,19.385365,-99.178216,348 INDIANA-AVENIDA SAN ANTONIO,"347,349,350",13,BIKE,OPN,3710,CIUDAD DE LOS DEPORTES
348,349 - Augusto Rodin-Avenida San Antonio,S/N,7,AMN,349,19.385688000000002,-99.18085699999999,349 AUGUSTO RODIN-AVENIDA SAN ANTONIO,"332,348,350",14,BIKE,OPN,3840,SAN PEDRO DE LOS PINOS
349,350 - Jose Clemente Orozco-Correggio,S/N,2,1,350,19.384062,-99.18148199999999,350 JOSE CLEMENTE OROZCO-CORREGGIO,"349,352",28,BIKE,OPN,3710,CIUDAD DE LOS DEPORTES
350,351 - Calle 27-Avenida Revolución,S/N,6,SPP,351,19.385751000000003,-99.186297,351 CALLE 27-AVENIDA REVOLUCIÓN,"332,352,364",12,BIKE,OPN,3800,SAN PEDRO DE LOS PINOS
351,352 - Tintoreto-Giorgine,S/N,5,SMN,352,19.384114,-99.185447,352 TINTORETO-GIORGINE,"351,364,365",25,"BIKE,TPV",OPN,3700,NONOALCO
352,353 - Carolina-Holbein,S/N,2,CDD,353,19.382168,-99.17880799999999,353 CAROLINA-HOLBEIN,"354,361,362",25,"BIKE,TPV",OPN,3710,CIUDAD DE LOS DEPORTES
353,354 - Boston-Av. Insurgentes,S/N,20,NBU,354,19.381664999999998,-99.17668499999999,354 BOSTON-AV. INSURGENTES,"353,361,369",4,BIKE,OPN,3720,NOCHE BUENA
354,355 - California-Sacramento,S/N,10,ISB,355,19.38205,-99.173291,355 CALIFORNIA-SACRAMENTO,"345,361",11,BIKE,OPN,3100,INSURGENTES SAN BORJA
355,356 - Matias Romero -Adolfo Prieto,S/N,1,1,356,19.381292000000002,-99.170171,356 MATIAS ROMERO -ADOLFO PRIETO,"355,357,372",16,BIKE,OPN,3100,DEL VALLE CENTRO
356,357 - Matias Romero -Amores,S/N,9,DVC,357,19.380598000000003,-99.1669248,357 MATIAS ROMERO -AMORES,"356,358,373",15,BIKE,OPN,3100,DEL VALLE CENTRO
357,358 - Nicolas San Juan-Matias Romero,S/N,0,DVC,358,19.380167999999998,-99.164222,358 NICOLAS SAN JUAN-MATIAS ROMERO ,"357,360,373",24,BIKE,OPN,3100,DEL VALLE CENTRO
358,359 - Matias Romero -Pestallozzi,S/N,8,DVC,359,19.379269,-99.161169,359 MATIAS ROMERO -PESTALLOZZI,"342,360,374",25,"BIKE,TPV",OPN,3100,DEL VALLE CENTRO
359,360 - Heriberto Frías-Matias Romero,S/N,0,DVC,360,19.379027899999997,-99.1628259,E360 HERIBERTO FRÍAS-MATIAS ROMERO,"300,358,359,391",21,ELECTRIC_BIKE,OPN,3100,DEL VALLE CENTRO
360,361 - Porfirio Díaz-Capulín,S/N,16,1,361,19.380709,-99.17508000000001,361 PORFIRIO DÍAZ-CAPULÍN,"354,369,370",11,BIKE,OPN,3100,INSURGENTES SAN BORJA
361,362 - Augusto Rodin-Alberto Balderas,S/N,6,CDD,362,19.382207,-99.181043,362 AUGUSTO RODIN-ALBERTO BALDERAS,"367,368",15,BIKE,OPN,3710,CIUDAD DE LOS DEPORTES
362,363 - Holbein-Paulo Ucello,S/N,5,CDD,363,19.380813,-99.183851,363 HOLBEIN-PAULO UCELLO,"362,365,367",15,BIKE,OPN,3710,CIUDAD DE LOS DEPORTES
363,364 - Botichelli-Cda. De Giorgone,S/N,7,SMN,364,19.383063,-99.185858,364 BOTICHELLI-CDA. DE GIORGONE,"351,352,365",20,BIKE,OPN,3700,NONOALCO
364,365 - Holbein-Avenida Revolución,S/N,0,SMN,365,19.381117,-99.186687,365 HOLBEIN-AVENIDA REVOLUCIÓN,"352,363,364",30,BIKE,OPN,3700,NONOALCO
